Id,Designator,Package,Quantity,Designation,Supplier and ref,Price,Total
1,C1,CP_Radial_D8.0mm_P3.50mm,1,470uF,,3,3
2,C2,CP_Radial_D4.0mm_P2.00mm,1,4.7uF,,3,3
3,D1,D_DO-41_SOD81_P10.16mm_Horizontal,1,1N4001,,1.5,1.5
4,"J1,J3",Screw_terminal_2pin_P5mm_width10mm,2,Screw_Terminal_01x02,,6.5,13
5,J2,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Female,,1,1
6,K1,Relay_SPDT_SANYOU_SRD_Series_Form_C,1,SANYOU_SRD_Form_C,,50,50
7,Q1,TO-92_HandSolder,1,BC547,,3,3
8,R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,10K,,1,1
9,U1,EASY-POWER,1,Easy-Power,,110,110
10,EXT1,PIR Sensor,1,HC-SR501,,70,70
,,,,,,,
,,,,,,,255.5
